"Date","Steps","Calories","HR_Lowest","HR_Highest","HR_Average","Total_Miles_Moved","Active_Hours","Floors_Climbed","UV_Exposure_Minutes","Total_Seconds_All_Activities","Total_Calories_All_Activities","Sleep_Events","Sleep_Total_Calories","Total_Seconds_Slept","Run_Events","Run_Total_Seconds","Total_Miles_Run","Run_Total_Calories","Bike_Events","Bike_Total_Seconds","Total_Miles_Biked","Bike_Total_Calories","Walk_Events","Walk_Total_Seconds","Total_Miles_Walked","Walk_Total_Calories","Exercise_Events","Exercise_Total_Seconds","Exercise_Total_Calories","Guided_Workout_Events","Guided_Workout_Total_Seconds","Guided_Workout_Total_Calories","Golf_Events","Golf_Total_Seconds","Total_Miles_Golfed","Golf_Total_Calories"
"2015-12-31","1736","2420","39","116","59","0.898527598822874","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-01","2808","2416","42","98","59","1.45870615604868","0","6","1","0","0","1","602","20324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-02","10922","3856","37","170","79","5.62948630000795","1","4","0","0","0","1","653","24487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-03","6050","2459","38","128","60","3.12522369362921","0","6","0","8165","1623","1","521","15650","0","0","0","0","0","0","0","0","0","0","0","0","1","8165","1623","0","0","0","0","0","0","0"
"2016-01-04","4572","2466","40","105","60","2.41252336355683","0","12","0","0","0","1","957","35378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-05","10154","3114","36","180","76","5.7122902250855","1","27","0","0","0","1","590","21090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-06","4184","2509","40","131","63","2.13511840849439","0","2","0","3247","567","1","585","20745","2","3247","3.57330688777539","567","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-07","10800","3078","41","185","85","6.04318281237573","1","15","0","0","0","1","542","17139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-08","5542","2500","40","94","60","2.89299242424242","0","8","0","2745","649","1","530","19294","1","2745","3.57133092738408","649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-09","3916","2438","39","102","62","1.99784508470532","0","7","0","0","0","1","714","22310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-10","1782","2116","40","93","56","0.930714626580768","0","0","0","0","0","2","1032","35027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-11","7362","2544","39","144","61","3.7238651276545","0","9","0","0","0","1","530","19408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-12","12536","3051","41","188","70","7.05841634852462","1","29","0","0","0","1","605","19146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-13","7180","2510","42","94","63","3.68750248548477","0","10","0","2677","519","1","598","19388","1","2677","3.5718653066094","519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-14","10698","3103","39","190","83","5.98093384633739","1","29","0","0","0","1","635","21615","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-15","8614","2454","39","88","60","4.56234341445956","0","11","0","2329","642","1","548","16864","1","2329","3.159660085103","642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-16","6730","3252","43","166","73","3.47010956016862","1","5","0","0","0","1","850","28574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-17","1954","2383","42","88","57","1.01796756939473","0","4","0","4679","1011","1","733","25003","0","0","0","0","0","0","0","0","0","0","0","0","1","4679","1011","0","0","0","0","0","0","0"
"2016-01-18","3706","2382","40","111","60","1.92489610673666","0","5","0","0","0","1","907","29721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-19","6740","2980","52","189","120","4.03231378748111","1","12","0","0","0","1","272","8424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-20","6352","2477","43","101","62","3.23582776584745","0","5","0","2655","596","0","0","0","1","2655","3.60879961027599","596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-21","3584","2394","42","99","59","1.8312306132188","0","2","0","0","0","1","766","18306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-22","8218","2960","38","189","74","4.83056450330072","1","16","0","0","0","1","620","18672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
