"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2015-11-17","2015-11-17 23:49:02","Sleep","23730","0","621","","","50","94","58","0","","","","","","","","","","","","","","","","","","","","","","2015-11-18 06:22:02","1647","22082","7727","14355","4","479","95","Moderate","51","Manual","","","","","","","","",""
"2015-11-17","2015-11-17 00:50:26","Sleep","21706","0","570","","","45","90","60","0","","","","","","","","","","","","","","","","","","","","","","2015-11-17 06:35:45","1946","19760","6913","12847","1","508","97","Good","52","Manual","","","","","","","","",""
"2015-11-19","2015-11-19 01:11:03","Sleep","21362","0","591","","","51","94","63","0","","","","","","","","","","","","","","","","","","","","","","2015-11-19 06:52:08","1526","19836","7597","12239","1","209","97","","55","Auto","","","","","","","","",""
"2015-11-19","2015-11-19 19:16:00","Exercise","1607","17","472","323","149","67","184","154","0","","Highly improving","3","1","2","5","7","10","140","122","","120960","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-20","2015-11-20 00:25:47","Sleep","23107","0","649","","","46","120","63","0","","","","","","","","","","","","","","","","","","","","","","2015-11-20 06:48:24","1768","21338","6770","14568","4","329","94","Moderate","52","Manual","","","","","","","","",""
"2015-11-21","2015-11-21 01:22:13","Sleep","26922","0","719","","","48","116","60","0","","","","","","","","","","","","","","","","","","","","","","2015-11-21 08:48:26","2214","24708","8463","16245","5","209","92","","52","Auto","","","","","","","","",""
"2015-11-21","2015-11-21 15:04:47","Run","1442","3","254","184","70","66","171","118","0","2.09609629762189","Improving","8","4","5","1","7","0","135","","","112320","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-22","2015-11-22 23:51:19","Sleep","25190","0","693","","","46","116","62","0","","","","","","","","","","","","","","","","","","","","","","2015-11-23 06:45:10","4073","21116","6408","14708","1","3175","97","Good","47","Manual","","","","","","","","",""
"2015-11-22","2015-11-22 01:28:29","Sleep","26837","0","735","","","49","87","62","0","","","","","","","","","","","","","","","","","","","","","","2015-11-22 08:53:17","988","25849","7956","17893","3","209","97","","53","Auto","","","","","","","","",""
"2015-11-24","2015-11-24 01:36:39","Sleep","18866","0","497","","","41","115","56","0","","","","","","","","","","","","","","","","","","","","","","2015-11-24 06:35:37","4851","14015","6916","7099","0","3803","98","Moderate","44","Manual","","","","","","","","",""
