"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2016-01-16","2016-01-16 01:45:44","Sleep","32618","0","850","","","39","87","57","0","","","","","","","","","","","","","","","","","","","","","","2016-01-16 10:46:53","4043","28574","8115","20459","7","2246","94","Good","45","Manual","","","","","","","","",""
"2016-01-17","2016-01-17 00:56:12","Sleep","28091","0","733","","","43","85","57","0","","","","","","","","","","","","","","","","","","","","","","2016-01-17 08:35:23","3087","25003","5034","19969","6","419","92","Good","45","Manual","","","","","","","","",""
"2016-01-17","2016-01-17 12:14:04","Exercise","4679","1213","1011","492","519","73","161","116","0","","Maintaining","18","19","38","2","22","0","82","80","72","62880","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-18","2016-01-18 01:04:25","Sleep","34994","0","907","","","42","88","55","0","","","","","","","","","","","","","","","","","","","","","","2016-01-18 10:45:10","5273","29721","6648","23073","10","479","86","Good","44","Manual","","","","","","","","",""
"2016-01-19","2016-01-19 05:22:13","Sleep","10426","0","272","","","40","85","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-19 08:02:32","2002","8424","1224","7200","2","209","89","","44","Auto","","","","","","","","",""
"2016-01-20","2016-01-20 21:05:33","Run","2655","6","596","408","188","74","184","139","0","3.60879961027599","Strenuous","7","11","8","3","8","8","99","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","2016-01-21 00:57:53","Sleep","28643","0","766","","","43","101","59","0","","","","","","","","","","","","","","","","","","","","","","2016-01-21 08:46:48","10336","18306","4552","13754","8","5423","80","Moderate","46","Manual","","","","","","","","",""
"2016-01-22","2016-01-22 01:08:08","Sleep","23827","0","620","","","43","99","57","0","","","","","","","","","","","","","","","","","","","","","","2016-01-22 07:42:45","5155","18672","5873","12799","5","3027","90","Moderate","47","Manual","","","","","","","","",""
"2016-01-23","2016-01-23 02:17:19","Sleep","30464","0","773","","","38","94","52","0","","","","","","","","","","","","","","","","","","","","","","2016-01-23 10:42:34","2336","28128","8327","19801","6","479","94","Good","39","Manual","","","","","","","","",""
"2016-01-23","2016-01-23 17:09:22","Run","2286","2","599","433","166","87","188","152","0","3.23265877276704","Strenuous","4","8","2","6","7","12","95","","","265140","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-24","2016-01-24 02:37:19","Sleep","22277","0","584","","","44","88","57","0","","","","","","","","","","","","","","","","","","","","","","2016-01-24 08:46:08","2956","19321","6210","13111","5","209","88","","46","Auto","","","","","","","","",""
"2016-01-24","2016-01-24 10:57:49","Exercise","7956","2","1620","728","892","76","161","132","2","","Improving","4","21","30","22","56","0","156","110","90","66360","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-25","2016-01-25 01:34:05","Sleep","22742","0","579","","","42","95","55","0","","","","","","","","","","","","","","","","","","","","","","2016-01-25 07:47:38","2274","20468","4937","15531","5","359","92","Moderate","44","Manual","","","","","","","","",""
"2016-01-25","2016-01-25 20:10:37","Run","2098","1","490","363","127","88","184","149","0","3.11533146424879","Strenuous","3","11","6","5","3","8","92","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-26","2016-01-26 07:30:15","Sleep","608","0","17","","","43","79","59","0","","","","","","","","","","","","","","","","","","","","","","","608","0","0","0","0","608","0","","","Manual","","","","","","","","",""
"2016-01-26","2016-01-26 02:29:20","Sleep","17970","0","455","","","44","81","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-26 07:10:24","2034","15936","8998","6938","3","209","95","","48","Auto","","","","","","","","",""
"2016-01-27","2016-01-27 01:16:28","Sleep","23012","0","595","","","39","88","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-27 07:22:32","3056","19956","6199","13757","5","419","92","Moderate","43","Manual","","","","","","","","",""
"2016-01-28","2016-01-28 20:45:50","Run","2776","1","590","403","187","81","187","139","0","3.29008589835362","Strenuous","10","12","6","4","7","9","135","129","120","260760","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","2016-01-29 01:20:20","Sleep","22897","0","584","","","44","81","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-29 07:39:28","1315","21582","5648","15934","3","209","95","","49","Auto","","","","","","","","",""
"2016-01-30","2016-01-30 04:23:50","Sleep","22344","0","574","","","41","112","56","0","","","","","","","","","","","","","","","","","","","","","","2016-01-30 10:33:44","3743","18600","5749","12851","7","299","84","Moderate","43","Manual","","","","","","","","",""
"2016-01-30","2016-01-30 16:13:30","Run","3827","28","657","378","279","59","170","119","0","3.64726248707548","Strenuous","16","19","12","1","17","0","111","94","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-31","2016-01-31 02:08:10","Sleep","26835","0","684","","","42","81","53","0","","","","","","","","","","","","","","","","","","","","","","2016-01-31 09:14:28","3983","22852","4551","18301","6","359","90","Good","44","Manual","","","","","","","","",""
"2016-01-31","2016-01-31 10:57:23","Exercise","5956","1","1274","609","665","94","155","130","0","","Maintaining","1","8","47","1","43","0","109","107","78","35040","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-01","2016-02-01 02:17:11","Sleep","22889","0","592","","","39","83","55","0","","","","","","","","","","","","","","","","","","","","","","2016-02-01 08:04:13","3685","19204","5421","13783","5","299","85","Moderate","43","Manual","","","","","","","","",""
"2016-02-02","2016-02-02 00:35:58","Sleep","25388","0","648","","","40","80","54","0","","","","","","","","","","","","","","","","","","","","","","2016-02-02 07:36:37","1375","24013","7832","16181","3","328","96","","46","Auto","","","","","","","","",""
"2016-02-03","2016-02-03 01:23:51","Sleep","22793","0","578","","","39","81","53","0","","","","","","","","","","","","","","","","","","","","","","2016-02-03 07:41:15","3380","19413","6609","12804","6","269","86","","45","Auto","","","","","","","","",""
"2016-02-03","2016-02-03 20:48:08","Run","2707","2","675","461","214","67","183","147","0","3.61518730613219","Strenuous","9","6","3","9","4","15","","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","2016-02-04 01:26:24","Sleep","23628","0","617","","","43","99","59","0","","","","","","","","","","","","","","","","","","","","","","2016-02-04 07:57:43","1616","22012","6129","15883","2","209","94","","48","Auto","","","","","","","","",""
"2016-02-04","2016-02-04 19:41:15","Run","2869","1","557","382","175","77","178","127","0","3.74995029030462","Strenuous","14","10","8","11","5","1","114","","","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-05","2016-02-05 00:30:41","Sleep","24883","0","629","","","40","86","53","0","","","","","","","","","","","","","","","","","","","","","","2016-02-05 07:22:55","4247","20636","7236","13400","10","209","84","","43","Auto","","","","","","","","",""
"2016-02-06","2016-02-06 17:41:57","Exercise","2710","1","822","480","342","84","191","156","0","","Strenuous","1","1","0","23","16","6","149","133","111","259200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-07","2016-02-07 01:03:09","Sleep","27694","0","713","","","41","81","55","0","","","","","","","","","","","","","","","","","","","","","","2016-02-07 08:42:14","1855","25839","6458","19381","6","209","94","","44","Auto","","","","","","","","",""
"2016-02-07","2016-02-07 10:59:54","Exercise","7102","3","1480","678","802","78","162","132","4","","Improving","4","9","47","5","55","0","143","102","94","66360","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-08","2016-02-08 01:30:26","Sleep","23878","0","607","","","46","101","58","0","","","","","","","","","","","","","","","","","","","","","","2016-02-08 08:05:55","3026","20852","6858","13994","6","209","88","","47","Auto","","","","","","","","",""
"2016-02-08","2016-02-08 19:37:09","Bike","3428","1","876","441","435","81","156","143","0","0","Highly improving","3","2","4","1","48","0","117","105","99","155520","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-09","2016-02-09 01:29:02","Sleep","23422","0","603","","","42","94","56","0","","","","","","","","","","","","","","","","","","","","","","2016-02-09 07:56:54","3264","20157","6888","13269","6","628","88","Moderate","43","Manual","","","","","","","","",""
"2016-02-10","2016-02-10 00:36:29","Sleep","24960","0","626","","","38","80","53","0","","","","","","","","","","","","","","","","","","","","","","2016-02-10 07:03:03","3651","21309","5685","15624","3","628","94","Good","42","Manual","","","","","","","","",""
"2016-02-11","2016-02-11 00:47:24","Sleep","23293","0","579","","","40","83","52","0","","","","","","","","","","","","","","","","","","","","","","2016-02-11 07:13:07","1828","21464","6593","14871","3","809","95","Good","43","Manual","","","","","","","","",""
"2016-02-11","2016-02-11 21:01:37","Bike","4253","208","1191","601","590","69","180","149","0","0","Strenuous","2","3","11","34","24","1","121","103","97","259200","0","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-12","2016-02-12 00:49:58","Sleep","24328","0","625","","","45","89","57","0","","","","","","","","","","","","","","","","","","","","","","2016-02-12 07:32:56","2993","21335","8586","12749","8","209","88","","48","Auto","","","","","","","","",""
"2016-02-14","2016-02-14 02:50:48","Sleep","20545","0","520","","","41","90","53","0","","","","","","","","","","","","","","","","","","","","","","2016-02-14 08:30:43","1974","18571","7473","11098","4","209","91","","44","Auto","","","","","","","","",""
