"Date","Start_Time","Event_Type","Duration_Seconds","Seconds_Paused","Calories_Burned","Calories_Burned_Carbs","Calories_Burned_Fats","HR_Lowest","HR_Peak","HR_Average","UV_Exposure_Minutes","Total_Miles_Moved","Cardio_Benefit","Minutes_Under_50%_HR","Minutes_In_HRZ_Very_Light_50%_60%","Minutes_In_HRZ_Light_60%_70%","Minutes_In_HRZ_Moderate_70%_80%","Minutes_In_HRZ_Hard_80%_90%","Minutes_In_HRZ_Very_Hard_90%_Plus","HR_Finish","HR_Recovery_Rate_1_Min","HR_Recovery_Rate_2_Min","Recovery_Time_Seconds","Bike_Average_MPH","Bike_Max_MPH","Elevation_Highest_Feet","Elevation_Lowest_Feet","Elevation_Gain_Feet","Elevation_Loss_Feet","Climb_Rate_Feet_Per_Hour","Walk_Active_Seconds","Walk_Resting_Seconds","Wake_Up_Time","Seconds_Awake","Seconds_Asleep_Total","Seconds_Asleep_Restful","Seconds_Asleep_Light","Wake_Ups","Seconds_to_Fall_Asleep","Sleep_Efficiency","Sleep_Restoration","Sleep_HR_Resting","Sleep_Auto_Detect","GW_Plan_Name","GW_Reps_Performed","GW_Rounds_Performed","Golf_Course_Name","Golf_Course_Par","Golf_Total_Score","Golf_Par_or_Better","Golf_Pace_of_Play_Minutes","Golf_Longest_Drive_Yards"
"2017-01-01","2017-01-01 04:02:44","Sleep","29084","0","762","","","43","94","60","0","","","","","","","","","","","","","","","","","","","","","","2017-01-01 12:04:59","4847","24237","6132","18105","10","897","86","","48","Auto","","","","","","","","",""
"2017-01-03","2017-01-03 11:13:21","Sleep","11711","0","334","","","60","95","74","0","","","","","","","","","","","","","","","","","","","","","","2017-01-03 14:26:03","3257","8454","0","8454","5","298","74","","69","Auto","","","","","","","","",""
"2017-01-03","2017-01-03 04:20:29","Sleep","14947","0","429","","","64","97","77","0","","","","","","","","","","","","","","","","","","","","","","2017-01-03 08:18:09","6159","8788","0","8788","9","2511","74","","68","Auto","","","","","","","","",""
"2017-01-04","2017-01-04 03:34:17","Sleep","26721","0","704","","","44","90","61","0","","","","","","","","","","","","","","","","","","","","","","2017-01-04 10:57:08","5267","21454","2064","19390","12","418","81","","51","Auto","","","","","","","","",""
"2017-01-06","2017-01-06 03:50:49","Sleep","24053","0","600","","","45","90","54","0","","","","","","","","","","","","","","","","","","","","","","2017-01-06 10:21:14","2424","21629","7118","14511","3","837","95","","47","Auto","","","","","","","","",""
"2017-01-07","2017-01-07 02:58:38","Sleep","13390","0","339","","","44","76","54","0","","","","","","","","","","","","","","","","","","","","","","2017-01-07 06:34:51","2301","11089","4004","7085","3","209","86","","48","Auto","","","","","","","","",""
"2017-01-08","2017-01-08 15:46:14","Sleep","10693","0","278","","","46","120","61","0","","","","","","","","","","","","","","","","","","","","","","2017-01-08 18:41:59","1583","9110","1762","7348","3","776","92","","55","Auto","","","","","","","","",""
"2017-01-08","2017-01-08 01:51:32","Sleep","25550","0","636","","","47","78","55","0","","","","","","","","","","","","","","","","","","","","","","2017-01-08 08:54:53","1377","24173","8316","15857","2","209","95","","49","Auto","","","","","","","","",""
"2017-01-10","2017-01-10 02:38:29","Sleep","20647","0","515","","","41","83","53","0","","","","","","","","","","","","","","","","","","","","","","2017-01-10 08:20:07","1554","19093","3316","15777","5","298","94","","44","Auto","","","","","","","","",""
"2017-01-11","2017-01-11 00:52:21","Sleep","25702","0","635","","","43","85","56","0","","","","","","","","","","","","","","","","","","","","","","2017-01-11 07:33:17","2663","23039","8106","14933","3","209","96","","47","Auto","","","","","","","","",""
